global sparsity,begin,end,freq,label smoothing,Accuracy,method
0.5,20000,76000,2000,0,0.755599976,magnitude_pruning
0.5,20000,100000,4000,0.1,0.760320008,magnitude_pruning
0.5,20000,76000,4000,0.1,0.760580003,magnitude_pruning
0.5,20000,100000,8000,0,0.75602001,magnitude_pruning
0.5,8000,100000,4000,0.1,0.757239997,magnitude_pruning
0.5,8000,76000,4000,0.1,0.757040024,magnitude_pruning
0.5,8000,76000,4000,0,0.753960013,magnitude_pruning
0.5,20000,76000,2000,0.1,0.759119987,magnitude_pruning
0.5,40000,68000,2000,0.1,0.763140023,magnitude_pruning
0.5,8000,68000,4000,0.1,0.756060004,magnitude_pruning
0.5,40000,100000,2000,0.1,0.765299976,magnitude_pruning
0.5,20000,68000,8000,0.1,0.760659993,magnitude_pruning
0.5,8000,76000,8000,0,0.754760027,magnitude_pruning
0.5,40000,76000,8000,0,0.759660006,magnitude_pruning
0.5,20000,100000,2000,0,0.757340014,magnitude_pruning
0.5,40000,100000,8000,0,0.759379983,magnitude_pruning
0.5,40000,76000,4000,0,0.758220017,magnitude_pruning
0.5,40000,68000,4000,0,0.759920001,magnitude_pruning
0.5,20000,68000,2000,0.1,0.759000003,magnitude_pruning
0.5,8000,76000,2000,0.1,0.758000016,magnitude_pruning
0.5,40000,100000,4000,0,0.760259986,magnitude_pruning
0.5,8000,68000,4000,0,0.75345999,magnitude_pruning
0.5,8000,100000,2000,0,0.755420029,magnitude_pruning
0.5,40000,76000,2000,0,0.758639991,magnitude_pruning
0.5,20000,68000,8000,0,0.755840003,magnitude_pruning
0.5,40000,68000,2000,0,0.759739995,magnitude_pruning
0.5,20000,100000,2000,0.1,0.760100007,magnitude_pruning
0.5,20000,68000,4000,0,0.755620003,magnitude_pruning
0.5,40000,76000,2000,0.1,0.763679981,magnitude_pruning
0.5,40000,100000,8000,0.1,0.762600005,magnitude_pruning
0.5,40000,100000,4000,0.1,0.762080014,magnitude_pruning
0.5,40000,76000,4000,0.1,0.762579978,magnitude_pruning
0.5,20000,76000,8000,0.1,0.760160029,magnitude_pruning
0.5,40000,68000,8000,0.1,0.763999999,magnitude_pruning
0.5,20000,76000,4000,0,0.757359982,magnitude_pruning
0.5,8000,68000,8000,0,0.752879977,magnitude_pruning
0.5,8000,76000,8000,0.1,0.756959975,magnitude_pruning
0.5,8000,100000,8000,0.1,0.758679986,magnitude_pruning
0.5,20000,100000,8000,0.1,0.759620011,magnitude_pruning
0.5,8000,68000,2000,0,0.753359973,magnitude_pruning
0.5,40000,68000,4000,0.1,0.763119996,magnitude_pruning
0.5,40000,68000,8000,0,0.759379983,magnitude_pruning
0.5,8000,68000,2000,0.1,0.755659997,magnitude_pruning
0.5,8000,76000,2000,0,0.754119992,magnitude_pruning
0.5,8000,100000,8000,0,0.758099973,magnitude_pruning
0.5,40000,100000,2000,0,0.756959975,magnitude_pruning
0.5,8000,68000,8000,0.1,0.758220017,magnitude_pruning
0.5,20000,68000,2000,0,0.754540026,magnitude_pruning
0.5,8000,100000,2000,0.1,0.759259999,magnitude_pruning
0.5,40000,76000,8000,0.1,0.762059987,magnitude_pruning
0.5,20000,76000,8000,0,0.756060004,magnitude_pruning
0.5,20000,68000,4000,0.1,0.758700013,magnitude_pruning
0.5,8000,100000,4000,0,0.754079998,magnitude_pruning
0.5,20000,100000,4000,0,0.759039998,magnitude_pruning
0.7,40000,68000,8000,0,0.755859971,magnitude_pruning
0.7,8000,68000,2000,0,0.746339977,magnitude_pruning
0.7,40000,100000,8000,0.1,0.760519981,magnitude_pruning
0.7,8000,100000,2000,0,0.749180019,magnitude_pruning
0.7,20000,76000,8000,0.1,0.755859971,magnitude_pruning
0.7,40000,100000,2000,0.1,0.757780015,magnitude_pruning
0.7,40000,76000,2000,0.1,0.760240018,magnitude_pruning
0.7,40000,76000,2000,0,0.754580021,magnitude_pruning
0.7,8000,76000,2000,0,0.746259987,magnitude_pruning
0.7,40000,100000,8000,0,0.754279971,magnitude_pruning
0.7,40000,68000,8000,0.1,0.758979976,magnitude_pruning
0.7,40000,68000,2000,0.1,0.758759975,magnitude_pruning
0.7,20000,100000,2000,0.1,0.754920006,magnitude_pruning
0.7,20000,68000,8000,0,0.751940012,magnitude_pruning
0.7,20000,100000,8000,0,0.753579974,magnitude_pruning
0.7,40000,68000,4000,0,0.755959988,magnitude_pruning
0.7,40000,100000,4000,0,0.757600009,magnitude_pruning
0.7,20000,76000,8000,0,0.754320025,magnitude_pruning
0.7,8000,100000,8000,0.1,0.754679978,magnitude_pruning
0.7,8000,68000,4000,0,0.749140024,magnitude_pruning
0.7,20000,100000,4000,0,0.755100012,magnitude_pruning
0.7,8000,76000,2000,0.1,0.749119997,magnitude_pruning
0.7,20000,68000,8000,0.1,0.753319979,magnitude_pruning
0.7,8000,76000,8000,0,0.750140011,magnitude_pruning
0.7,8000,68000,2000,0.1,0.747640014,magnitude_pruning
0.7,40000,76000,8000,0,0.757000029,magnitude_pruning
0.7,20000,68000,2000,0.1,0.753319979,magnitude_pruning
0.7,20000,100000,4000,0.1,0.756299973,magnitude_pruning
0.7,8000,76000,8000,0.1,0.750440001,magnitude_pruning
