Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2106    15.6120     2.1282    18.0200    17.0574      1.0000
   2     0.1000     2.0339    20.8480     1.8569    27.1400    15.3773      1.0000
   3     0.1000     1.8537    28.2500     1.8903    29.2500    15.3526      1.0000
   4     0.1000     1.6872    35.4600     1.4983    42.7100    15.3604      1.0000
   5     0.1000     1.5556    41.8340     1.5489    42.9100    15.3571      1.0000
   6     0.1000     1.4333    47.5940     2.1956    19.9500    15.3111      1.0000
   7     0.1000     1.3053    53.1640     1.3987    52.2500    15.2939      1.0000
   8     0.1000     1.1527    59.0300     1.0576    62.2400    15.3583      1.0000
   9     0.1000     1.0329    63.9900     0.8858    69.1900    15.2912      1.0000
  10     0.1000     0.9394    67.3240     0.8581    70.1100    15.5046      1.0000
  11     0.1000     0.8661    70.1120     0.7741    73.7700    15.3961      1.0000
  12     0.1000     0.7964    72.7200     0.8088    72.5800    15.4635      1.0000
  13     0.1000     0.7362    74.9680     0.8218    71.8600    15.4515      1.0000
  14     0.1000     0.6889    76.7320     0.7173    75.4200    15.3739      1.0000
  15     0.1000     0.6491    78.1380     0.7055    76.5900    15.4242      1.0000
