Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
finish saving initial checkpoint
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2450    13.8040     2.3205    10.0000   119.2138      0.9481
   2     0.1000     2.1921    15.6680     2.0224    20.0000   119.3349      0.9215
   3     0.1000     1.9766    21.7780     2.1208    19.0100   119.3952      0.9001
   4     0.1000     1.8771    25.9060     1.7192    31.8400   119.3191      0.8815
   5     0.1000     1.7622    31.4420     1.8840    28.0400   119.3173      0.8648
   6     0.1000     1.6528    36.3300     1.8563    30.3400   119.3118      0.8494
   7     0.1000     1.5530    41.4580     1.3950    47.8400   119.3178      0.8352
   8     0.1000     1.4526    46.4460     1.3064    52.0900   119.3046      0.8219
   9     0.1000     1.3125    52.9140     1.2108    56.8700   119.3343      0.8094
  10     0.1000     1.1847    57.9440     1.1759    57.9900   119.3034      0.7975
  11     0.1000     1.0678    62.3880     0.9612    66.2400   119.3690      0.7862
  12     0.1000     0.9689    66.2720     0.8563    70.1700   119.4070      0.7755
  13     0.1000     0.8820    69.6620     0.8591    70.4300   119.3348      0.7651
  14     0.1000     0.8148    72.1420     0.7519    74.3500   119.3067      0.7551
  15     0.1000     0.7570    74.4880     0.8414    71.2700   119.3212      0.7455
