Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
layer_blocks.0.0.weight
layer_blocks.0.0.bias
layer_blocks.0.1.weight
layer_blocks.0.1.bias
layer_blocks.1.0.weight
layer_blocks.1.0.bias
layer_blocks.1.1.weight
layer_blocks.1.1.bias
layer_blocks.2.0.weight
layer_blocks.2.0.bias
layer_blocks.2.1.weight
layer_blocks.2.1.bias
layer_blocks.2.2.weight
layer_blocks.2.2.bias
layer_blocks.3.0.weight
layer_blocks.3.0.bias
layer_blocks.3.1.weight
layer_blocks.3.1.bias
layer_blocks.3.2.weight
layer_blocks.3.2.bias
layer_blocks.4.0.weight
layer_blocks.4.0.bias
layer_blocks.4.1.weight
layer_blocks.4.1.bias
layer_blocks.4.2.weight
layer_blocks.4.2.bias
classifier.1.weight
classifier.1.bias
classifier.4.weight
classifier.4.bias
classifier.6.weight
classifier.6.bias
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time    sparsity
----  ---------  ---------  ---------  ---------  ---------  ---------  ----------
   1     0.1000     2.2523    14.4420     2.2501    15.0200    15.4068      0.9252
   2     0.1000     2.0832    19.2780     2.0664    19.9100    13.5822      0.8789
   3     0.1000     1.9856    21.0220     1.9508    22.2500    13.7027      0.8397
   4     0.1000     1.8248    27.1240     1.7754    28.1000    13.5893      0.8048
   5     0.1000     1.7406    31.4340     1.6785    32.8900    13.6062      0.7729
   6     0.1000     1.6241    36.5940     1.6007    37.6800    13.6436      0.7434
   7     0.1000     1.5101    41.3860     1.4748    42.8400    13.5546      0.7157
   8     0.1000     1.4132    45.1760     1.3985    45.4700    13.4867      0.6895
   9     0.1000     1.3143    52.2960     1.2710    53.1500    13.6345      0.6648
  10     0.1000     1.2645    53.2880     1.2647    53.4300    13.5812      0.6414
  11     0.1000     1.0881    61.4220     1.0843    61.0000    13.6833      0.6192
  12     0.1000     0.9601    65.7840     0.9638    65.8600    13.4496      0.5981
  13     0.1000     0.9629    66.4240     0.9493    66.2100    13.4669      0.5779
  14     0.1000     0.9486    66.2780     0.9625    66.4400    13.5459      0.5585
  15     0.1000     0.8858    68.8220     0.9295    67.3000    13.5406      0.5399
  16     0.1000     0.7711    72.8440     0.8136    71.5900    13.5892      0.5222
