Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
Resume training from cifar100_save/endpoints/WideResNet28x10-4/sgd/checkpoint-0.pt
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     1.4369    46.7560     1.6712    43.7400   145.8266
   2     0.1000     0.9044    67.6580     1.2676    61.1400   141.6159
   3     0.1000     0.6830    76.2200     0.9056    70.7500   141.5751
   4     0.1000     0.5553    80.6920     0.8916    73.2400   141.5873
   5     0.1000     0.4724    83.5920     0.8611    73.7900   141.6334
   6     0.1000     0.4144    85.7620     0.5675    80.4800   141.6261
   7     0.1000     0.3674    87.3920     0.4597    85.2100   141.6104
   8     0.1000     0.3329    88.5320     0.6641    80.2800   141.5994
   9     0.1000     0.3003    89.6260     0.5394    83.5800   141.5901
  10     0.1000     0.2703    90.5840     0.5817    83.0000   141.6017
  11     0.1000     0.2464    91.3840     0.4636    85.1600   141.6002
  12     0.1000     0.2252    92.2040     0.5016    84.4700   141.5889
  13     0.1000     0.2082    92.7880     0.4705    86.4900   141.6030
  14     0.1000     0.1901    93.3360     0.4435    86.6900   141.5961
  15     0.1000     0.1723    93.9760     0.5139    85.5000   141.5927
  16     0.1000     0.1620    94.2760     0.4026    88.1100   141.5998
  17     0.1000     0.1415    95.1720     0.3663    88.9300   141.6083
  18     0.1000     0.1386    95.0860     0.8174    80.9700   141.5781
  19     0.1000     0.1265    95.6480     0.4563    87.1800   141.5504
  20     0.1000     0.1166    95.9440     0.6508    84.0000   141.5815
  21     0.1000     0.1069    96.2840     0.4024    88.9300   141.5878
  22     0.1000     0.0966    96.6360     0.4478    88.3500   141.6045
  23     0.1000     0.0916    96.7180     0.4104    89.6500   141.5945
  24     0.1000     0.0843    97.1400     0.5896    85.2000   141.5952
  25     0.1000     0.0800    97.1860     0.4443    88.2200   141.5849
  26     0.1000     0.0724    97.5640     0.4251    89.2500   141.5864
  27     0.1000     0.0688    97.6240     0.4092    89.8000   141.5823
  28     0.1000     0.0620    97.8240     0.4278    89.6500   141.6529
  29     0.1000     0.0558    98.0300     0.3868    90.7100   141.5698
  30     0.1000     0.0534    98.2660     0.3445    91.1800   141.6019
  31     0.1000     0.0553    98.1020     0.4308    89.3700   141.5853
  32     0.1000     0.0508    98.2200     0.3550    91.4100   141.6016
  33     0.1000     0.0451    98.3880     0.4028    90.2300   141.5513
  34     0.1000     0.0415    98.5580     0.4349    90.1400   141.5906
  35     0.1000     0.0375    98.7420     0.4137    90.3200   141.6040
  36     0.1000     0.0405    98.5820     0.4383    90.7300   141.5369
  37     0.1000     0.0365    98.7700     0.3547    91.3900   141.5456
  38     0.1000     0.0303    98.9360     0.3357    92.3900   141.5794
  39     0.1000     0.0297    98.9700     0.4634    90.2800   141.5734
  40     0.1000     0.0271    99.0700     0.4076    91.0400   141.5795
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0286    99.0300     0.3895    91.8700   141.5618
  42     0.1000     0.0256    99.1280     0.4063    91.3600   141.5582
  43     0.1000     0.0249    99.1320     0.4709    90.3500   141.5530
  44     0.1000     0.0253    99.1480     0.4382    90.3100   141.5633
  45     0.1000     0.0223    99.2420     0.4653    90.9000   141.5570
  46     0.1000     0.0190    99.3340     0.4015    91.5600   141.5801
  47     0.1000     0.0192    99.3280     0.3795    92.1900   141.5969
  48     0.1000     0.0183    99.4140     0.4218    91.5700   141.5592
  49     0.1000     0.0160    99.4960     0.3915    91.7400   141.5926
  50     0.1000     0.0175    99.3980     0.4045    91.8800   141.5634
  51     0.1000     0.0186    99.3440     0.4442    91.0300   141.5300
  52     0.1000     0.0222    99.2680     0.3800    92.1000   141.5621
  53     0.1000     0.0196    99.3300     0.3447    92.5800   141.5579
  54     0.1000     0.0180    99.4060     0.3712    92.2700   141.5542
  55     0.1000     0.0106    99.6700     0.4305    91.5700   141.5341
  56     0.1000     0.0145    99.5200     0.3341    93.0400   141.5730
  57     0.1000     0.0117    99.6260     0.3843    92.3400   141.5446
  58     0.1000     0.0082    99.7360     0.4294    91.8200   141.5674
  59     0.1000     0.0121    99.6000     0.5176    91.0300   141.5343
  60     0.1000     0.0128    99.5720     0.3571    92.7400   141.5694
  61     0.1000     0.0096    99.6840     0.3763    92.6200   141.5525
  62     0.1000     0.0132    99.5500     0.3633    92.5000   141.5449
  63     0.1000     0.0109    99.6440     0.3762    92.4300   141.5589
  64     0.1000     0.0118    99.6000     0.4383    91.8700   141.5509
  65     0.1000     0.0080    99.7180     0.3612    92.9100   141.5435
  66     0.1000     0.0092    99.7020     0.3743    92.4400   141.5371
  67     0.1000     0.0127    99.5860     0.3888    92.1900   141.5850
  68     0.1000     0.0065    99.8060     0.3590    93.1800   141.5807
  69     0.1000     0.0065    99.8060     0.3828    92.8000   141.5726
  70     0.1000     0.0052    99.8440     0.3516    93.2200   141.5790
  71     0.1000     0.0071    99.7700     0.3897    92.3600   141.5636
  72     0.1000     0.0081    99.7140     0.5747    89.8800   141.5755
  73     0.1000     0.0113    99.6340     0.4077    92.1200   141.5950
  74     0.1000     0.0137    99.5260     0.4216    91.8500   141.5600
  75     0.1000     0.0087    99.7480     0.3544    93.1000   141.5584
  76     0.1000     0.0078    99.7460     0.3472    92.9000   141.5504
  77     0.1000     0.0063    99.8140     0.3952    92.6200   141.5711
  78     0.1000     0.0074    99.7560     0.4140    92.4700   141.5909
  79     0.1000     0.0069    99.7800     0.3824    92.6100   141.5815
  80     0.1000     0.0085    99.7160     0.4718    91.6900   141.6087
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0136    99.5340     0.4004    92.4900   141.5664
  82     0.1000     0.0094    99.6860     0.4158    92.4100   141.5683
