Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
Resume training from cifar100_save/endpoints/cifar10/WideResNet28x10_fixbatch/sgd/checkpoint-0.pt
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     1.4304    46.8380     1.5578    47.3900   592.8904
   2     0.1000     0.8889    68.4480     1.1084    63.8200   592.7226
   3     0.1000     0.6722    76.7380     0.8600    72.5300   592.7124
   4     0.1000     0.5493    80.8660     1.0679    70.0600   592.6287
   5     0.1000     0.4658    83.9860     0.8103    74.7000   592.7355
   6     0.1000     0.4085    85.9220     0.5327    81.7400   592.6699
   7     0.1000     0.3626    87.4440     0.5864    82.0500   592.6363
   8     0.1000     0.3267    88.5860     0.6394    79.7200   592.6294
   9     0.1000     0.2926    89.8720     0.5002    84.2500   592.6310
  10     0.1000     0.2672    90.8120     0.4922    84.9100   592.6655
  11     0.1000     0.2460    91.5140     0.3642    88.0200   592.6416
  12     0.1000     0.2245    92.1700     0.4928    85.9500   592.6870
  13     0.1000     0.2025    93.0060     0.6859    81.1200   592.6966
  14     0.1000     0.1869    93.5040     0.4058    88.0100   592.7681
  15     0.1000     0.1713    93.9620     0.5255    85.1400   592.6965
  16     0.1000     0.1593    94.4120     0.4916    86.1400   592.6249
  17     0.1000     0.1438    95.0000     0.3300    90.4000   592.6545
  18     0.1000     0.1322    95.3280     0.6440    84.0200   592.7060
  19     0.1000     0.1231    95.7420     0.4278    87.7300   592.6808
  20     0.1000     0.1106    96.0940     0.8768    80.2700   592.7090
  21     0.1000     0.1059    96.2780     1.1138    78.5000   592.6550
  22     0.1000     0.0953    96.6460     0.3289    90.5400   592.7617
  23     0.1000     0.0890    96.8160     0.5157    87.7200   592.7245
  24     0.1000     0.0818    97.1200     0.3792    90.3400   592.6800
  25     0.1000     0.0793    97.1960     0.4225    89.0800   592.7516
  26     0.1000     0.0694    97.6460     0.5130    88.3700   592.7806
  27     0.1000     0.0670    97.6880     0.3448    90.9100   592.6611
  28     0.1000     0.0591    97.9300     0.5591    87.1900   592.6702
  29     0.1000     0.0572    97.9740     0.3302    91.7500   592.7184
  30     0.1000     0.0500    98.2720     0.3578    90.8700   592.7218
  31     0.1000     0.0495    98.2620     0.3930    90.3100   592.6912
  32     0.1000     0.0480    98.3420     0.3637    91.1800   592.6187
  33     0.1000     0.0418    98.5400     0.3542    91.5400   592.6970
  34     0.1000     0.0433    98.5400     0.3530    91.8600   592.6972
  35     0.1000     0.0382    98.6680     0.5582    87.9500   592.6767
  36     0.1000     0.0370    98.7520     0.4440    90.4000   592.6500
  37     0.1000     0.0322    98.9040     0.5380    89.5400   592.7380
  38     0.1000     0.0286    99.0240     0.3583    91.7800   592.6665
  39     0.1000     0.0329    98.8660     0.3793    90.8200   592.6599
  40     0.1000     0.0257    99.1400     0.4691    90.1400   592.6923
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0262    99.0860     0.4011    91.7300   592.7134
  42     0.1000     0.0235    99.2080     0.8776    85.8300   592.7271
  43     0.1000     0.0292    98.9740     0.6063    88.8900   592.6544
  44     0.1000     0.0217    99.2660     0.4502    91.0500   592.6583
  45     0.1000     0.0191    99.3580     0.4011    91.6600   592.6702
  46     0.1000     0.0222    99.2480     0.4138    91.5800   592.6278
  47     0.1000     0.0227    99.2100     0.4094    91.7700   592.7087
  48     0.1000     0.0147    99.5360     0.3837    91.8300   592.7112
  49     0.1000     0.0187    99.4140     0.3876    91.9700   592.6839
  50     0.1000     0.0183    99.3860     0.3461    92.5500   592.7313
  51     0.1000     0.0217    99.2840     0.3947    91.7600   592.6357
  52     0.1000     0.0155    99.5160     0.3505    92.5400   592.6846
  53     0.1000     0.0131    99.5760     0.3674    92.4100   592.7325
  54     0.1000     0.0148    99.5340     0.3883    91.9800   592.6790
  55     0.1000     0.0130    99.5740     0.3479    92.7900   592.6607
  56     0.1000     0.0155    99.4840     0.3499    92.4300   592.6792
  57     0.1000     0.0126    99.5780     0.4114    92.3100   592.6334
  58     0.1000     0.0130    99.5740     0.4376    91.7200   592.6537
  59     0.1000     0.0127    99.5920     0.3960    92.3600   592.7205
  60     0.1000     0.0126    99.5900     0.3640    92.6800   592.6968
  61     0.1000     0.0124    99.5960     0.3704    92.8200   592.6558
  62     0.1000     0.0147    99.5320     0.3905    92.5100   592.6575
  63     0.1000     0.0128    99.5920     0.3654    92.6300   592.6667
  64     0.1000     0.0112    99.6260     0.3835    92.7500   592.7186
  65     0.1000     0.0116    99.6040     0.4307    92.2400   592.7213
  66     0.1000     0.0130    99.5660     0.3955    92.5100   592.7418
  67     0.1000     0.0112    99.6520     0.3743    93.0000   592.6923
  68     0.1000     0.0089    99.7100     0.4148    92.4900   592.6925
  69     0.1000     0.0086    99.7220     0.3831    92.8300   592.6618
  70     0.1000     0.0068    99.8300     0.3687    93.1100   592.6165
  71     0.1000     0.0047    99.8680     0.3658    93.0200   592.6849
  72     0.1000     0.0055    99.8320     0.3764    92.9800   592.7172
  73     0.1000     0.0098    99.6660     0.3793    92.8700   592.7703
  74     0.1000     0.0111    99.6080     0.4307    92.5800   592.7041
  75     0.1000     0.0095    99.6820     0.3597    93.0900   592.6928
  76     0.1000     0.0059    99.8220     0.3576    93.5800   592.6432
  77     0.1000     0.0038    99.8940     0.3870    93.0300   592.6535
  78     0.1000     0.0099    99.6880     0.4084    92.7300   592.7435
  79     0.1000     0.0052    99.8520     0.4301    92.5500   592.7241
  80     0.1000     0.0064    99.7840     0.3594    93.3200   592.6805
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0071    99.7560     0.3940    92.7200   592.7118
  82     0.1000     0.0058    99.7980     0.3963    92.9900   592.6994
