You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     1.4266    47.0560     1.5586    47.0800    93.5648
   2     0.1000     0.8964    68.1480     1.1871    63.1200    90.4965
   3     0.1000     0.6778    76.4660     0.7844    74.3500    90.5720
   4     0.1000     0.5527    80.8160     1.3140    64.9200    90.6296
   5     0.1000     0.4670    83.9200     0.7630    75.4800    90.6426
   6     0.1000     0.4106    85.8920     0.5449    81.8000    90.5324
   7     0.1000     0.3633    87.3720     0.6472    80.6300    90.5755
   8     0.1000     0.3291    88.5020     0.7177    78.9200    90.5407
   9     0.1000     0.2952    89.7460     0.4298    86.3800    90.5741
  10     0.1000     0.2680    90.7140     0.5537    83.0300    90.6441
  11     0.1000     0.2460    91.5080     0.4492    85.5300    90.5361
  12     0.1000     0.2209    92.2560     0.3879    88.4000    90.6031
  13     0.1000     0.2032    92.8800     0.4575    86.3400    90.5299
  14     0.1000     0.1889    93.4640     0.5809    84.0100    90.6420
  15     0.1000     0.1706    93.9820     0.4140    87.7300    90.7033
  16     0.1000     0.1607    94.4520     0.3915    88.5100    90.6359
  17     0.1000     0.1453    94.9380     0.3236    90.2600    90.5538
  18     0.1000     0.1303    95.4740     0.9708    78.9000    90.6663
  19     0.1000     0.1262    95.5340     0.4179    88.1200    90.6691
  20     0.1000     0.1102    96.1360     0.5566    85.4300    90.6802
  21     0.1000     0.1049    96.3640     0.3865    89.4500    90.4843
  22     0.1000     0.0945    96.6800     0.5885    85.3100    90.5594
  23     0.1000     0.0881    96.9460     0.4515    88.3600    90.6596
  24     0.1000     0.0800    97.1600     0.3598    90.4700    90.5864
  25     0.1000     0.0746    97.3360     0.5767    86.3900    90.5264
  26     0.1000     0.0730    97.3900     0.4943    88.4400    90.5987
  27     0.1000     0.0688    97.6800     0.3826    90.8200    90.6886
  28     0.1000     0.0608    97.8800     0.3842    90.1600    90.4655
  29     0.1000     0.0556    98.0760     0.3618    90.8700    90.6058
  30     0.1000     0.0531    98.1640     0.3264    91.5000    90.4887
  31     0.1000     0.0485    98.3040     0.5405    88.1200    90.6875
  32     0.1000     0.0442    98.4920     0.3948    91.1300    90.6286
  33     0.1000     0.0434    98.4800     0.4175    90.4000    90.4961
  34     0.1000     0.0455    98.4200     0.3579    91.4500    90.5063
  35     0.1000     0.0374    98.7240     0.4046    90.5000    90.5736
  36     0.1000     0.0352    98.7660     0.4080    91.0500    90.5348
  37     0.1000     0.0365    98.8080     0.3548    91.7700    90.6653
  38     0.1000     0.0311    98.9500     0.3606    91.7400    90.5906
  39     0.1000     0.0292    99.0020     0.3433    92.1500    90.4861
  40     0.1000     0.0266    99.0760     0.3459    92.0200    90.6020
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0264    99.1060     0.6281    88.7800    90.6240
  42     0.1000     0.0272    99.1200     0.3700    91.9000    90.7237
  43     0.1000     0.0255    99.1520     0.4128    91.1100    90.6252
  44     0.1000     0.0232    99.2040     0.4701    90.3800    90.6008
  45     0.1000     0.0203    99.3220     0.4149    91.2900    90.4841
  46     0.1000     0.0195    99.3900     0.3919    91.6600    90.5426
  47     0.1000     0.0202    99.3360     0.3776    92.2800    90.5518
  48     0.1000     0.0193    99.3160     0.4032    91.7900    90.5508
  49     0.1000     0.0198    99.3160     0.3911    91.8800    90.4033
  50     0.1000     0.0195    99.2900     0.3680    92.2300    90.3995
  51     0.1000     0.0225    99.2320     0.3615    92.2300    90.4679
  52     0.1000     0.0175    99.3920     0.5587    89.2800    90.5204
  53     0.1000     0.0183    99.4080     0.3562    92.2900    90.4477
  54     0.1000     0.0148    99.5160     0.3590    92.2900    90.4315
  55     0.1000     0.0128    99.5820     0.3586    92.6200    90.7250
  56     0.1000     0.0133    99.5540     0.3954    92.1900    90.7869
  57     0.1000     0.0132    99.5800     0.3686    92.7600    90.6344
  58     0.1000     0.0129    99.5760     0.4467    91.4700    90.6177
  59     0.1000     0.0114    99.6440     0.3716    92.6600    90.4992
  60     0.1000     0.0123    99.6000     0.5608    90.4400    90.5327
  61     0.1000     0.0107    99.6480     0.3557    92.7000    90.5362
  62     0.1000     0.0100    99.6720     0.4512    91.7200    90.4474
  63     0.1000     0.0132    99.5640     0.3882    92.8100    90.5714
  64     0.1000     0.0073    99.7760     0.3769    92.9800    90.5676
  65     0.1000     0.0056    99.8500     0.3587    92.9900    90.5238
  66     0.1000     0.0085    99.7400     0.3760    93.1100    90.5130
  67     0.1000     0.0085    99.7340     0.3813    92.9900    90.5107
  68     0.1000     0.0119    99.6180     0.3950    92.5200    90.5336
  69     0.1000     0.0106    99.6460     0.4309    92.0900    90.6275
  70     0.1000     0.0113    99.6280     0.3924    92.5100    90.6840
  71     0.1000     0.0112    99.6540     0.5321    90.9100    90.5153
  72     0.1000     0.0109    99.6460     0.5248    91.1800    90.4828
  73     0.1000     0.0094    99.7020     0.4036    92.5600    90.5659
  74     0.1000     0.0078    99.7280     0.3865    92.8100    90.3929
  75     0.1000     0.0068    99.8000     0.4008    92.6900    90.4042
  76     0.1000     0.0062    99.8220     0.3859    93.1400    90.5874
  77     0.1000     0.0051    99.8620     0.3606    93.2600    90.5741
  78     0.1000     0.0052    99.8540     0.3734    93.3200    90.6507
  79     0.1000     0.0058    99.8120     0.3867    93.1100    90.6210
  80     0.1000     0.0063    99.7820     0.3848    92.9900    90.4673
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0057    99.8200     0.4102    92.5900    90.4976
  82     0.1000     0.0078    99.7500     0.4247    92.1700    90.6892
  83     0.1000     0.0077    99.7700     0.4319    92.2600    90.8158
  84     0.1000     0.0095    99.6940     0.3740    92.9000    90.5254
