Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7145    12.9220     4.6827     8.7300   145.1735
   2     0.1000     2.9435    25.7880     3.6302    19.3200   141.1744
   3     0.1000     2.4352    35.7620     3.0908    27.4800   141.2704
   4     0.1000     2.0652    43.9440     2.6486    35.6500   141.3326
   5     0.1000     1.7959    50.0480     2.2762    41.4400   141.2986
   6     0.1000     1.5908    54.7620     2.2751    43.8400   141.3233
   7     0.1000     1.4433    58.6960     1.9727    49.1100   141.3361
   8     0.1000     1.3172    61.9480     1.7796    52.9300   141.3803
   9     0.1000     1.2049    65.0380     1.8341    53.4600   141.2921
  10     0.1000     1.1052    67.3460     2.1886    47.3100   141.3339
  11     0.1000     1.0257    69.7260     1.7519    55.4200   141.3358
  12     0.1000     0.9509    71.2980     1.7188    56.7700   141.3285
  13     0.1000     0.8802    73.2500     1.7407    55.4300   141.3301
  14     0.1000     0.8182    75.1880     1.4871    60.3800   141.3339
  15     0.1000     0.7585    76.7720     1.7760    57.8700   141.3490
  16     0.1000     0.7056    78.1640     1.4255    62.3300   141.3716
  17     0.1000     0.6456    80.0360     1.6148    59.4500   141.3738
  18     0.1000     0.5984    81.4560     1.3065    66.0300   141.3549
  19     0.1000     0.5549    82.4660     1.7014    61.0300   141.3358
  20     0.1000     0.5140    83.7900     1.6177    59.9200   141.3334
  21     0.1000     0.4749    84.8640     1.9556    59.0700   141.2963
  22     0.1000     0.4350    86.1300     1.5897    63.4900   141.3104
  23     0.1000     0.3977    87.2580     1.4938    64.9300   141.3103
  24     0.1000     0.3652    88.4320     1.6157    63.3300   141.3232
  25     0.1000     0.3351    89.2760     1.3439    67.7700   141.3331
  26     0.1000     0.3032    90.3040     1.3209    67.6300   141.3365
  27     0.1000     0.2859    90.7360     1.6500    64.2400   141.3313
  28     0.1000     0.2551    91.8100     1.7208    64.7400   141.3065
  29     0.1000     0.2336    92.5680     1.7546    65.1100   141.3256
  30     0.1000     0.2145    93.2360     1.5807    66.3800   141.2996
  31     0.1000     0.1928    93.8460     1.5624    67.6200   141.3289
  32     0.1000     0.1663    94.8080     1.5576    67.6500   141.3089
  33     0.1000     0.1592    94.8480     1.5504    68.5400   141.2842
  34     0.1000     0.1469    95.4000     1.6887    67.4900   141.2862
  35     0.1000     0.1354    95.7840     1.4486    69.3800   141.3089
  36     0.1000     0.1208    96.2700     1.3771    70.6100   141.2548
  37     0.1000     0.1097    96.6340     1.6465    67.5600   141.2978
  38     0.1000     0.0978    97.1420     1.4692    70.0200   141.3221
  39     0.1000     0.0952    97.0740     1.4430    71.2000   141.3056
  40     0.1000     0.0908    97.2280     1.5371    70.9400   141.3241
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0771    97.7820     1.4822    71.3000   141.2769
  42     0.1000     0.0767    97.7440     1.6102    70.2800   141.2879
  43     0.1000     0.0684    97.9940     1.4742    71.4900   141.3048
  44     0.1000     0.0555    98.4420     1.6386    71.0600   141.2934
  45     0.1000     0.0598    98.2360     1.5758    71.5100   141.2627
  46     0.1000     0.0532    98.4680     1.6242    71.2300   141.3226
  47     0.1000     0.0481    98.6680     1.5910    71.3200   141.2532
  48     0.1000     0.0450    98.7860     1.7770    70.5800   141.2886
  49     0.1000     0.0446    98.7180     1.5265    72.3300   141.2862
  50     0.1000     0.0309    99.2040     1.6393    72.3300   141.2760
  51     0.1000     0.0328    99.1520     1.6541    71.4700   141.2762
  52     0.1000     0.0319    99.1560     1.6318    71.8800   141.2982
  53     0.1000     0.0352    99.0140     1.6591    71.4900   141.2902
  54     0.1000     0.0370    98.9640     1.4830    72.5100   141.2812
  55     0.1000     0.0301    99.2180     1.5272    72.2400   141.2790
  56     0.1000     0.0286    99.2460     1.6111    72.7600   141.2863
  57     0.1000     0.0279    99.2600     1.6014    71.5400   141.2723
  58     0.1000     0.0216    99.4140     1.6377    72.2900   141.2943
  59     0.1000     0.0208    99.4600     1.4978    73.6700   141.3066
  60     0.1000     0.0269    99.2860     1.8703    70.4100   141.2778
  61     0.1000     0.0363    98.9580     1.5774    72.9600   141.2994
  62     0.1000     0.0286    99.2080     1.5900    72.3200   141.2731
  63     0.1000     0.0194    99.5380     1.5563    73.9500   141.2875
  64     0.1000     0.0145    99.6900     1.5151    74.6000   141.2888
  65     0.1000     0.0179    99.5540     1.5328    73.9000   141.2949
  66     0.1000     0.0179    99.5440     1.5169    74.5600   141.2745
  67     0.1000     0.0165    99.5940     1.5695    73.0800   141.3169
  68     0.1000     0.0149    99.6380     1.6201    73.8600   141.2951
  69     0.1000     0.0146    99.6460     1.6921    72.2100   141.3010
  70     0.1000     0.0187    99.5120     1.5158    74.8400   141.2749
  71     0.1000     0.0119    99.7100     1.5899    74.1900   141.2787
  72     0.1000     0.0120    99.6920     1.5451    74.4700   141.2962
  73     0.1000     0.0090    99.7940     1.6579    74.0900   141.2759
  74     0.1000     0.0099    99.7660     1.5622    74.6900   141.2947
  75     0.1000     0.0105    99.7480     1.5319    74.5700   141.3099
  76     0.1000     0.0052    99.9180     1.5028    75.7300   141.3122
  77     0.1000     0.0046    99.9220     1.4740    75.5800   141.2652
  78     0.1000     0.0044    99.9080     1.4879    75.2100   141.2997
  79     0.1000     0.0042    99.9140     1.5080    75.5400   141.2887
  80     0.1000     0.0049    99.9080     1.5100    75.2400   141.3135
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0045    99.9040     1.5340    74.9400   141.2678
  82     0.1000     0.0042    99.9120     1.4751    75.6300   141.2662
  83     0.1000     0.0054    99.8840     1.5387    74.9200   141.2782
  84     0.1000     0.0046    99.9100     1.5125    75.2400   141.3173
