Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
Resume training from cifar100_save/endpoints/WideResNet28x10_new4/sgd/checkpoint-0.pt
SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.0
    nesterov: False
    weight_decay: 0.0
)
total epochs: 200
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
   1     0.1000     3.7152    12.8000     4.3425    10.2200    91.6461
   2     0.1000     2.9503    25.7920     3.8131    16.8600    88.5972
   3     0.1000     2.4383    35.6860     2.9426    28.8300    88.6156
   4     0.1000     2.0653    43.8880     2.5350    37.5600    88.8504
   5     0.1000     1.7932    50.2300     2.2804    41.9500    88.7277
   6     0.1000     1.5904    54.8680     2.3333    43.1800    88.7654
   7     0.1000     1.4450    58.5480     1.8748    50.8500    88.6584
   8     0.1000     1.3195    61.8680     1.8151    52.2100    88.6869
   9     0.1000     1.2075    64.3660     2.0979    50.3700    88.6556
  10     0.1000     1.1094    67.2360     1.9531    50.7000    88.6424
  11     0.1000     1.0276    69.6600     1.8295    54.0700    88.7544
  12     0.1000     0.9537    71.3780     1.7784    56.0800    88.7465
  13     0.1000     0.8816    73.3020     1.8470    54.5300    88.6942
  14     0.1000     0.8225    74.9820     1.4135    62.6900    88.5899
  15     0.1000     0.7596    76.7900     1.7550    58.0800    88.5948
  16     0.1000     0.7058    78.0360     1.6463    59.1200    88.7238
  17     0.1000     0.6525    79.7220     1.6276    59.6000    88.5785
  18     0.1000     0.5990    81.2440     1.4020    65.0200    88.7365
  19     0.1000     0.5576    82.4960     1.5491    62.1600    88.6868
  20     0.1000     0.5226    83.5020     1.5552    60.7900    88.6882
  21     0.1000     0.4699    85.2340     1.7193    61.4700    88.5879
  22     0.1000     0.4369    85.9200     1.5217    63.6800    88.7099
  23     0.1000     0.3977    87.3460     1.3700    66.0100    88.5804
  24     0.1000     0.3634    88.3700     1.5142    65.0200    88.7515
  25     0.1000     0.3411    88.9280     1.3274    68.1300    88.6196
  26     0.1000     0.3034    90.3080     1.4459    67.0000    88.5767
  27     0.1000     0.2820    90.8480     1.6448    64.4800    88.6058
  28     0.1000     0.2539    91.7720     1.5407    65.5400    88.6967
  29     0.1000     0.2319    92.5940     1.6496    65.3700    88.6375
  30     0.1000     0.2232    92.8380     1.6167    66.2900    88.7368
  31     0.1000     0.1938    93.8480     1.5991    67.4600    88.6282
  32     0.1000     0.1789    94.3100     1.7756    64.9900    88.6960
  33     0.1000     0.1555    95.1860     1.5632    68.4900    88.5897
  34     0.1000     0.1427    95.6180     1.8921    65.8600    88.6440
  35     0.1000     0.1302    96.0040     1.8272    64.9500    88.6888
  36     0.1000     0.1188    96.3740     2.0003    63.0000    88.5947
  37     0.1000     0.1119    96.6200     1.6252    69.3000    88.6443
  38     0.1000     0.1012    96.8440     1.5650    68.8300    88.6467
  39     0.1000     0.0918    97.1760     1.7653    67.8100    88.6836
  40     0.1000     0.0878    97.3240     1.9630    65.7900    88.5348
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  41     0.1000     0.0753    97.7680     1.4387    71.6000    88.5346
  42     0.1000     0.0717    97.8760     1.5072    70.4200    88.5286
  43     0.1000     0.0613    98.1940     1.5944    70.5400    88.4931
  44     0.1000     0.0606    98.2020     1.5020    71.2900    88.7325
  45     0.1000     0.0492    98.6460     1.7796    69.2000    88.5463
  46     0.1000     0.0478    98.6740     1.5480    71.4500    88.4897
  47     0.1000     0.0420    98.9040     1.7227    70.5800    88.5334
  48     0.1000     0.0420    98.8140     1.7312    69.4000    88.5535
  49     0.1000     0.0371    99.0060     1.5828    71.4200    88.5266
  50     0.1000     0.0345    99.1040     1.5372    72.5700    88.5150
  51     0.1000     0.0319    99.1420     1.6003    71.3700    88.6278
  52     0.1000     0.0307    99.1940     1.5418    73.0400    88.5316
  53     0.1000     0.0324    99.1400     1.6109    71.6400    88.6125
  54     0.1000     0.0301    99.1500     1.5886    72.4000    88.5132
  55     0.1000     0.0313    99.1140     1.5285    73.0700    88.5960
  56     0.1000     0.0318    99.1360     1.5360    72.5900    88.5104
  57     0.1000     0.0266    99.2880     1.6518    71.7600    88.4764
  58     0.1000     0.0261    99.2920     1.5112    73.7400    88.5533
  59     0.1000     0.0279    99.2120     1.6115    72.1500    88.6432
  60     0.1000     0.0300    99.1440     1.7605    71.6700    88.5936
  61     0.1000     0.0285    99.1940     1.6356    72.3400    88.5564
  62     0.1000     0.0278    99.2480     1.4939    73.9500    88.5125
  63     0.1000     0.0181    99.5320     1.5341    73.4200    88.4994
  64     0.1000     0.0249    99.3220     1.5381    73.4200    88.7219
  65     0.1000     0.0249    99.2960     1.6290    71.4700    88.5841
  66     0.1000     0.0265    99.2280     1.6560    72.1900    88.4918
  67     0.1000     0.0210    99.4700     1.7849    71.2500    88.5028
  68     0.1000     0.0171    99.5560     1.5320    73.3100    88.4901
  69     0.1000     0.0139    99.6900     1.6534    73.1400    88.5553
  70     0.1000     0.0122    99.7300     1.5173    74.2200    88.5138
  71     0.1000     0.0113    99.7340     1.5120    74.3900    88.4893
  72     0.1000     0.0098    99.7740     1.4933    74.7000    88.5127
  73     0.1000     0.0078    99.8440     1.4992    74.6600    88.5091
  74     0.1000     0.0060    99.8840     1.4851    75.1800    88.5289
  75     0.1000     0.0074    99.8320     1.5075    74.4800    88.5466
  76     0.1000     0.0049    99.9260     1.5536    74.4200    88.4832
  77     0.1000     0.0038    99.9420     1.5105    74.9300    88.4824
  78     0.1000     0.0031    99.9440     1.4690    75.4600    88.5071
  79     0.1000     0.0028    99.9420     1.4918    75.5400    88.6238
  80     0.1000     0.0028    99.9520     1.4546    75.6700    88.8094
----  ---------  ---------  ---------  ---------  ---------  ---------
  ep         lr    tr_loss     tr_acc     te_nll     te_acc       time
----  ---------  ---------  ---------  ---------  ---------  ---------
  81     0.1000     0.0022    99.9580     1.4912    75.2200    88.6628
  82     0.1000     0.0032    99.9280     1.4966    75.3900    88.5654
