DKL loss begin,DKL loss saturate,DKL loss coeff,label_smoothing,global sparsity,Accuracy,method
8000,76000,7.81E-06,0.1,0.989484429,0.598779976,variational_dropout
8000,68000,7.81E-06,0.1,0.9894346,0.599259973,variational_dropout
8000,100000,7.81E-06,0.1,0.989378572,0.606639981,variational_dropout
8000,68000,7.81E-06,0,0.987619817,0.624800026,variational_dropout
20000,76000,7.81E-06,0.1,0.98758626,0.625660002,variational_dropout
8000,100000,7.81E-06,0,0.98752743,0.629299998,variational_dropout
20000,68000,7.81E-06,0.1,0.987511396,0.622720003,variational_dropout
20000,100000,7.81E-06,0.1,0.987121165,0.629279971,variational_dropout
20000,68000,7.81E-06,0,0.985680938,0.64349997,variational_dropout
20000,76000,7.81E-06,0,0.985648692,0.645240009,variational_dropout
20000,100000,7.81E-06,0,0.985140324,0.65298003,variational_dropout
8000,68000,7.81E-07,0.1,0.979927003,0.667540014,variational_dropout
40000,76000,7.81E-06,0.1,0.979074299,0.652220011,variational_dropout
8000,76000,7.81E-07,0.1,0.978934824,0.673560023,variational_dropout
40000,100000,7.81E-06,0.1,0.978469789,0.659959972,variational_dropout
8000,68000,7.81E-07,0,0.976629138,0.685000002,variational_dropout
20000,68000,7.81E-07,0.1,0.976410091,0.680320024,variational_dropout
8000,100000,7.81E-07,0.1,0.975898743,0.681299984,variational_dropout
8000,76000,7.81E-07,0,0.975432336,0.687420011,variational_dropout
20000,76000,7.81E-07,0.1,0.975128829,0.684660017,variational_dropout
40000,100000,7.81E-05,0.1,0.974820614,0.66140002,variational_dropout
40000,76000,7.81E-06,0,0.974418044,0.670660019,variational_dropout
40000,68000,7.81E-06,0,0.974252641,0.67027998,variational_dropout
40000,100000,7.81E-06,0,0.973634243,0.673919976,variational_dropout
20000,68000,7.81E-07,0,0.972663999,0.694739997,variational_dropout
8000,100000,7.81E-07,0,0.971925676,0.69690001,variational_dropout
20000,100000,7.81E-07,0.1,0.971398115,0.691420019,variational_dropout
20000,76000,7.81E-07,0,0.971178412,0.695540011,variational_dropout
8000,76000,3.90E-07,0.1,0.970571339,0.69095999,variational_dropout
40000,68000,7.81E-07,0.1,0.970375001,0.683860004,variational_dropout
40000,100000,7.81E-05,0,0.969259083,0.67809999,variational_dropout
40000,76000,7.81E-07,0.1,0.968467474,0.690199971,variational_dropout
20000,68000,3.90E-07,0.1,0.968122363,0.696940005,variational_dropout
8000,68000,3.90E-07,0,0.967714787,0.703719974,variational_dropout
20000,100000,7.81E-07,0,0.966718853,0.69907999,variational_dropout
20000,76000,3.90E-07,0.1,0.966172993,0.697700024,variational_dropout
8000,100000,3.90E-07,0.1,0.96604979,0.698220015,variational_dropout
8000,76000,3.90E-07,0,0.96594888,0.704079986,variational_dropout
40000,68000,7.81E-07,0,0.964538753,0.699620008,variational_dropout
8000,68000,2.34E-07,0.1,0.963309824,0.701579988,variational_dropout
20000,68000,3.90E-07,0,0.963012755,0.706939995,variational_dropout
40000,100000,7.81E-07,0.1,0.962556005,0.700800002,variational_dropout
40000,76000,7.81E-07,0,0.962362289,0.702480018,variational_dropout
40000,68000,3.90E-07,0.1,0.961660206,0.701979995,variational_dropout
8000,76000,2.34E-07,0.1,0.961333334,0.704680026,variational_dropout
20000,76000,3.90E-07,0,0.961003959,0.706560016,variational_dropout
20000,100000,3.90E-07,0.1,0.960446656,0.705219984,variational_dropout
40000,76000,7.81E-05,0.1,0.959381461,0.67493999,variational_dropout
20000,68000,2.34E-07,0.1,0.958977878,0.705940008,variational_dropout
8000,68000,2.34E-07,0,0.957387745,0.71359998,variational_dropout
20000,76000,2.34E-07,0.1,0.956354141,0.709420025,variational_dropout
40000,100000,7.81E-07,0,0.955824137,0.710600019,variational_dropout
8000,76000,2.34E-07,0,0.95502311,0.716260016,variational_dropout
40000,68000,3.90E-07,0,0.954808891,0.714079976,variational_dropout
8000,100000,2.34E-07,0.1,0.954183519,0.71201998,variational_dropout
20000,100000,3.90E-07,0,0.954148054,0.717140019,variational_dropout
20000,68000,2.34E-07,0,0.952321708,0.716220021,variational_dropout
40000,76000,3.90E-07,0,0.95152241,0.718219995,variational_dropout
40000,68000,2.34E-07,0.1,0.951070368,0.713840008,variational_dropout
20000,76000,2.34E-07,0,0.949402332,0.718119979,variational_dropout
40000,76000,7.81E-05,0,0.94922781,0.694100022,variational_dropout
20000,100000,2.34E-07,0.1,0.947227657,0.715600014,variational_dropout
8000,100000,2.34E-07,0,0.946954191,0.721580029,variational_dropout
40000,76000,2.34E-07,0.1,0.946593821,0.717000008,variational_dropout
20000,100000,7.81E-05,0.1,0.945144534,0.694660008,variational_dropout
40000,68000,2.34E-07,0,0.94303906,0.724820018,variational_dropout
40000,100000,3.90E-07,0,0.939941108,0.726859987,variational_dropout
20000,100000,7.81E-05,0,0.939760625,0.702679992,variational_dropout
20000,100000,2.34E-07,0,0.939109445,0.72676003,variational_dropout
40000,76000,2.34E-07,0,0.937889636,0.725679994,variational_dropout
8000,100000,7.81E-05,0.1,0.929877818,0.68967998,variational_dropout
40000,100000,2.34E-07,0.1,0.929183662,0.728060007,variational_dropout
8000,100000,7.81E-05,0,0.924682498,0.695760012,variational_dropout
8000,68000,7.81E-08,0.1,0.92250669,0.726440012,variational_dropout
40000,100000,2.34E-07,0,0.918508112,0.735759974,variational_dropout
8000,76000,7.81E-08,0.1,0.917207122,0.729040027,variational_dropout
20000,68000,7.81E-08,0.1,0.915074527,0.732060015,variational_dropout
8000,68000,7.81E-08,0,0.910239637,0.734520018,variational_dropout
20000,76000,7.81E-08,0.1,0.90822649,0.732680023,variational_dropout
8000,76000,7.81E-08,0,0.904710889,0.739080012,variational_dropout
20000,68000,7.81E-08,0,0.902656317,0.73842001,variational_dropout
40000,68000,7.81E-08,0.1,0.896691084,0.74000001,variational_dropout
8000,100000,7.81E-08,0.1,0.89647913,0.736800015,variational_dropout
20000,76000,7.81E-08,0,0.895279825,0.741400003,variational_dropout
40000,76000,7.81E-08,0.1,0.884241104,0.743879974,variational_dropout
40000,68000,7.81E-08,0,0.883026242,0.745000005,variational_dropout
20000,100000,7.81E-08,0.1,0.881456971,0.741760015,variational_dropout
8000,100000,7.81E-08,0,0.881285071,0.742420018,variational_dropout
40000,76000,7.81E-08,0,0.869333148,0.746039987,variational_dropout
20000,100000,7.81E-08,0,0.864837348,0.74691999,variational_dropout
8000,68000,3.90E-08,0.1,0.860441327,0.742380023,variational_dropout
8000,76000,3.90E-08,0.1,0.850927293,0.743939996,variational_dropout
20000,68000,3.90E-08,0.1,0.84944135,0.747839987,variational_dropout
8000,68000,3.90E-08,0,0.840082049,0.747380018,variational_dropout
40000,100000,7.81E-08,0.1,0.837653816,0.749599993,variational_dropout
20000,76000,3.90E-08,0.1,0.837472975,0.746580005,variational_dropout
8000,76000,3.90E-08,0,0.829667866,0.751119971,variational_dropout
20000,68000,3.90E-08,0,0.828857899,0.751619995,variational_dropout
40000,68000,3.90E-08,0.1,0.821835995,0.750060022,variational_dropout
20000,76000,3.90E-08,0,0.815993667,0.752460003,variational_dropout
8000,100000,3.90E-08,0.1,0.811589777,0.751699984,variational_dropout
40000,76000,3.90E-08,0.1,0.803003848,0.754559994,variational_dropout
40000,68000,3.90E-08,0,0.800343931,0.752820015,variational_dropout
8000,100000,3.90E-08,0,0.786679983,0.755219996,variational_dropout
8000,68000,2.34E-08,0.1,0.781557262,0.752120018,variational_dropout
20000,68000,2.34E-08,0.1,0.769956887,0.754760027,variational_dropout
8000,76000,2.34E-08,0.1,0.768224239,0.75503999,variational_dropout
20000,100000,3.90E-08,0,0.763694048,0.755180001,variational_dropout
8000,68000,2.34E-08,0,0.753562868,0.757399976,variational_dropout
20000,76000,2.34E-08,0.1,0.753286481,0.757740021,variational_dropout
20000,76000,7.81E-05,0,0.747535288,0.707379997,variational_dropout
20000,68000,2.34E-08,0,0.740478754,0.757319987,variational_dropout
8000,76000,2.34E-08,0,0.738614917,0.755580008,variational_dropout
40000,68000,2.34E-08,0.1,0.738289058,0.756219983,variational_dropout
8000,76000,7.81E-05,0.1,0.735824704,0.689580023,variational_dropout
40000,100000,3.90E-08,0.1,0.729848146,0.758920014,variational_dropout
8000,76000,7.81E-05,0,0.726035655,0.698840022,variational_dropout
20000,76000,2.34E-08,0,0.723699272,0.755320013,variational_dropout
40000,76000,2.34E-08,0.1,0.714638412,0.759880006,variational_dropout
8000,100000,2.34E-08,0.1,0.713218749,0.756340027,variational_dropout
40000,68000,2.34E-08,0,0.710261345,0.758360028,variational_dropout
40000,100000,3.90E-08,0,0.703392327,0.762139976,variational_dropout
20000,100000,2.34E-08,0.1,0.689545155,0.758580029,variational_dropout
40000,76000,2.34E-08,0,0.685150146,0.759880006,variational_dropout
8000,100000,2.34E-08,0,0.681556702,0.760240018,variational_dropout
20000,100000,2.34E-08,0,0.654980481,0.758400023,variational_dropout
40000,100000,2.34E-08,0.1,0.62490803,0.76323998,variational_dropout
40000,100000,2.34E-08,0,0.590570807,0.762080014,variational_dropout
8000,68000,7.81E-05,0.1,0.566737771,0.692780018,variational_dropout
20000,68000,7.81E-05,0.1,0.560443223,0.70231998,variational_dropout
8000,68000,7.81E-05,0,0.558124483,0.700779974,variational_dropout
20000,68000,7.81E-05,0,0.549533248,0.712059975,variational_dropout
40000,68000,7.81E-05,0.1,0.512580693,0.729740024,variational_dropout
8000,68000,7.81E-09,0.1,0.500447214,0.765479982,variational_dropout
20000,68000,7.81E-09,0.1,0.492942721,0.763360023,variational_dropout
40000,68000,7.81E-05,0,0.492543012,0.732339978,variational_dropout
20000,76000,7.81E-09,0.1,0.475636065,0.764940023,variational_dropout
20000,68000,7.81E-09,0,0.450854212,0.761600018,variational_dropout
8000,100000,7.81E-09,0.1,0.424636751,0.764360011,variational_dropout
40000,76000,7.81E-09,0,0.41222778,0.762199998,variational_dropout
20000,100000,7.81E-09,0.1,0.406589657,0.763180017,variational_dropout
8000,100000,7.81E-09,0,0.387279928,0.764559984,variational_dropout
20000,100000,7.81E-09,0,0.371019751,0.763580024,variational_dropout
40000,100000,7.81E-09,0.1,0.363803834,0.766040027,variational_dropout
20000,68000,0,0.1,0.027898271,0.765259981,variational_dropout
8000,100000,0,0.1,0.027896196,0.764900029,variational_dropout
40000,76000,0,0.1,0.027884068,0.765579998,variational_dropout
40000,100000,0,0.1,0.027867312,0.76473999,variational_dropout
20000,76000,0,0.1,0.02781494,0.765879989,variational_dropout
8000,68000,0,0.1,0.02780652,0.765259981,variational_dropout
20000,100000,0,0.1,0.027791094,0.765559971,variational_dropout
40000,68000,0,0.1,0.027751222,0.766200006,variational_dropout
8000,76000,0,0.1,0.027725745,0.767239988,variational_dropout
8000,100000,0,0,0.025927566,0.765739977,variational_dropout
20000,76000,0,0,0.025919676,0.764699996,variational_dropout
20000,68000,0,0,0.025857262,0.764199972,variational_dropout
8000,68000,0,0,0.025834389,0.763520002,variational_dropout
40000,76000,0,0,0.025824353,0.763000011,variational_dropout
20000,100000,0,0,0.025809458,0.762839973,variational_dropout
40000,68000,0,0,0.025787363,0.764540017,variational_dropout
40000,100000,0,0,0.025783239,0.764360011,variational_dropout
