global sparsity,begin,end,freq,label smoothing,Accuracy,method
0.5,20000,40000,4000,0.1,0.74594003,random_pruning
0.5,0,40000,2000,0,0.745779991,random_pruning
0.5,20000,40000,2000,0.1,0.745739996,random_pruning
0.5,0,40000,4000,0.1,0.745480001,random_pruning
0.5,8000,68000,8000,0.1,0.745459974,random_pruning
0.5,8000,40000,2000,0.1,0.745299995,random_pruning
0.5,0,68000,2000,0.1,0.745280027,random_pruning
0.5,0,76000,8000,0.1,0.745119989,random_pruning
0.5,8000,68000,4000,0.1,0.74496001,random_pruning
0.5,0,40000,2000,0.1,0.74496001,random_pruning
0.5,0,40000,8000,0.1,0.744719982,random_pruning
0.5,8000,40000,8000,0.1,0.744620025,random_pruning
0.5,8000,76000,4000,0.1,0.744459987,random_pruning
0.5,20000,76000,2000,0.1,0.744440019,random_pruning
0.5,0,68000,8000,0.1,0.744440019,random_pruning
0.5,0,68000,4000,0.1,0.744419992,random_pruning
0.5,8000,68000,2000,0.1,0.74436003,random_pruning
0.5,20000,40000,8000,0.1,0.744340003,random_pruning
0.5,8000,76000,2000,0.1,0.744080007,random_pruning
0.5,20000,76000,4000,0.1,0.744019985,random_pruning
0.5,0,76000,4000,0.1,0.744000018,random_pruning
0.5,20000,68000,4000,0.1,0.743900001,random_pruning
0.5,8000,40000,4000,0.1,0.743860006,random_pruning
0.5,8000,40000,2000,0,0.743740022,random_pruning
0.5,0,68000,8000,0,0.743700027,random_pruning
0.5,8000,76000,4000,0,0.743499994,random_pruning
0.5,8000,76000,8000,0.1,0.743439972,random_pruning
0.5,20000,40000,2000,0,0.743359983,random_pruning
0.5,0,76000,2000,0.1,0.743260026,random_pruning
0.5,20000,76000,8000,0.1,0.743139982,random_pruning
0.5,20000,68000,8000,0.1,0.743120015,random_pruning
0.5,0,40000,8000,0,0.742900014,random_pruning
0.5,8000,40000,4000,0,0.742560029,random_pruning
0.5,8000,76000,8000,0,0.742500007,random_pruning
0.5,20000,68000,4000,0,0.74247998,random_pruning
0.5,0,76000,4000,0,0.742460012,random_pruning
0.5,20000,40000,4000,0,0.742439985,random_pruning
0.5,20000,40000,8000,0,0.742299974,random_pruning
0.5,0,68000,2000,0,0.742299974,random_pruning
0.5,0,76000,8000,0,0.742259979,random_pruning
0.5,8000,40000,8000,0,0.742039979,random_pruning
0.5,20000,76000,8000,0,0.741959989,random_pruning
0.5,0,76000,2000,0,0.74188,random_pruning
0.5,8000,68000,4000,0,0.741779983,random_pruning
0.5,8000,68000,8000,0,0.741760015,random_pruning
0.5,20000,68000,2000,0.1,0.741680026,random_pruning
0.5,0,40000,4000,0,0.741639972,random_pruning
0.5,20000,76000,2000,0,0.741559982,random_pruning
0.5,20000,76000,4000,0,0.741400003,random_pruning
0.5,0,68000,4000,0,0.741320014,random_pruning
0.5,8000,76000,2000,0,0.740920007,random_pruning
0.5,20000,68000,8000,0,0.740760028,random_pruning
0.5,8000,68000,2000,0,0.740719974,random_pruning
0.5,20000,68000,2000,0,0.740379989,random_pruning
0.7,8000,40000,8000,0.1,0.722180009,random_pruning
0.7,8000,40000,8000,0,0.721979976,random_pruning
0.7,0,40000,8000,0,0.721960008,random_pruning
0.7,0,40000,4000,0,0.721859992,random_pruning
0.7,0,40000,2000,0,0.721800029,random_pruning
0.7,8000,40000,4000,0.1,0.721780002,random_pruning
0.7,8000,40000,2000,0.1,0.721440017,random_pruning
0.7,0,40000,8000,0.1,0.721340001,random_pruning
0.7,8000,40000,2000,0,0.721300006,random_pruning
0.7,0,40000,2000,0.1,0.720979989,random_pruning
0.7,20000,40000,8000,0,0.720939994,random_pruning
0.7,20000,40000,2000,0.1,0.720799983,random_pruning
0.7,20000,40000,4000,0,0.720799983,random_pruning
0.7,0,40000,4000,0.1,0.720780015,random_pruning
0.7,8000,40000,4000,0,0.720640004,random_pruning
