index,resnet50,parameter num,80 % Sparse ERK,90 % Sparse ERK,AMC (RL),gRDA_c0.005_mu0.55,gRDA_c0.01_mu0.4,variational_dropout
1,module.conv1.weight,9408,0.143,0.58,0.57191,0.607036565,0.416454082,0.313881803
2,module.layer1.0.conv1.weight,4096,0,0,0.62702,0.625,0.376220703,0.395019531
3,module.layer1.0.conv2.weight,36864,0.638,0.823,0.70347,0.823757595,0.637152778,0.708631727
4,module.layer1.0.conv3.weight,16384,0,0.041,0.65521,0.706665039,0.479125977,0.613525391
5,module.layer1.0.downsample.0.weight,16384,0,0.041,0.64177,0.710083008,0.493591309,0.540466309
6,module.layer1.1.conv1.weight,16384,0,0.041,0.62216,0.7734375,0.568237305,0.648742676
7,module.layer1.1.conv2.weight,36864,0.638,0.823,0.74243,0.815511068,0.616482205,0.678683811
8,module.layer1.1.conv3.weight,16384,0,0.041,0.6672,0.732055664,0.491577148,0.658325195
9,module.layer1.2.conv1.weight,16384,0,0.041,0.65938,0.770080566,0.583068848,0.603759766
10,module.layer1.2.conv2.weight,36864,0.638,0.823,0.76056,0.788519965,0.601291233,0.643771701
11,module.layer1.2.conv3.weight,16384,0,0.041,0.67071,0.765380859,0.532653809,0.6875
12,module.layer2.0.conv1.weight,32768,0,0.425,0.64492,0.7684021,0.561340332,0.570953369
13,module.layer2.0.conv2.weight,147456,0.823,0.913,0.76295,0.875047472,0.725423177,0.786471897
14,module.layer2.0.conv3.weight,65536,0.025,0.522,0.67198,0.811828613,0.619735718,0.720748901
15,module.layer2.0.downsample.0.weight,131072,0.415,0.713,0.6181,0.905609131,0.76260376,0.799552917
16,module.layer2.1.conv1.weight,65536,0.025,0.522,0.64624,0.900299072,0.759429932,0.854858398
17,module.layer2.1.conv2.weight,147456,0.823,0.913,0.77662,0.89449056,0.752488878,0.844082303
18,module.layer2.1.conv3.weight,65536,0.025,0.522,0.67892,0.815353394,0.632324219,0.780929565
19,module.layer2.2.conv1.weight,65536,0.025,0.522,0.652,0.862854004,0.703384399,0.791946411
20,module.layer2.2.conv2.weight,147456,0.823,0.913,0.78688,0.871073405,0.722276476,0.784837511
21,module.layer2.2.conv3.weight,65536,0.025,0.522,0.67233,0.838668823,0.657058716,0.786560059
22,module.layer2.3.conv1.weight,65536,0.025,0.522,0.66901,0.846878052,0.690689087,0.739364624
23,module.layer2.3.conv2.weight,147456,0.823,0.913,0.79265,0.875488281,0.729600694,0.84383138
24,module.layer2.3.conv3.weight,65536,0.025,0.522,0.67472,0.855422974,0.698379517,0.82069397
25,module.layer3.0.conv1.weight,131072,0.415,0.713,0.70286,0.823410034,0.671127319,0.665611267
26,module.layer3.0.conv2.weight,589824,0.913,0.957,0.81414,0.933600532,0.827046712,0.879158868
27,module.layer3.0.conv3.weight,262144,0.513,0.761,0.68498,0.85313797,0.714931488,0.766433716
28,module.layer3.0.downsample.0.weight,524288,0.708,0.857,0.74346,0.941955566,0.841678619,0.887554169
29,module.layer3.1.conv1.weight,262144,0.513,0.761,0.69069,0.927616119,0.823177338,0.921936035
30,module.layer3.1.conv2.weight,589824,0.913,0.957,0.81884,0.931716919,0.827233209,0.92467414
31,module.layer3.1.conv3.weight,262144,0.513,0.761,0.69304,0.868015289,0.718132019,0.854568481
